Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Issuer,datetime_object
10.11.2015,"290,00","290,00","290,00","290,00","0,00",200.0,58.000,58.000,ADIN,2015-11-10
19.11.2015,"290,00","290,00","290,00","290,00","0,00",54.0,15.660,15.660,ADIN,2015-11-19
25.11.2015,"345,00","345,00","345,00","345,00","18,97",60.0,20.700,20.700,ADIN,2015-11-25
24.12.2015,"345,00","345,00","345,00","345,00","0,00",10.0,3.450,3.450,ADIN,2015-12-24
05.1.2016,"345,00","345,00","345,00","345,00","0,00",50.0,17.250,17.250,ADIN,2016-01-05
04.3.2016,"311,00","311,00","311,00","311,00","-9,86",50.0,15.550,15.550,ADIN,2016-03-04
09.3.2016,"340,00","340,00","340,00","340,00","9,32",90.0,30.600,30.600,ADIN,2016-03-09
11.3.2016,"339,00","339,00","339,00","339,00","-0,29",41.0,13.899,13.899,ADIN,2016-03-11
15.3.2016,"338,00","338,00","338,00","338,00","-0,29",30.0,10.140,10.140,ADIN,2016-03-15
22.3.2016,"335,00","335,00","335,00","335,00","-0,89",30.0,10.050,10.050,ADIN,2016-03-22
31.3.2016,"325,00","325,00","325,00","325,00","-2,99",1.115,362.375,362.375,ADIN,2016-03-31
01.4.2016,"300,00","300,00","300,00","300,00","-7,69",1.15,345.000,345.000,ADIN,2016-04-01
05.4.2016,"300,00","300,00","300,00","300,00","0,00",750.0,225.000,225.000,ADIN,2016-04-05
03.5.2016,"299,00","299,00","299,00","299,00","-0,33",500.0,149.500,149.500,ADIN,2016-05-03
05.5.2016,"300,00","300,00","300,00","300,00","0,33",70.0,21.000,21.000,ADIN,2016-05-05
18.5.2016,"299,00","299,00","299,00","299,00","-0,33",200.0,59.800,59.800,ADIN,2016-05-18
23.5.2016,"300,00","300,00","300,00","300,00","0,33",1.157,347.100,347.100,ADIN,2016-05-23
31.5.2016,"301,00","301,00","301,00","301,00","0,33",110.0,33.110,33.110,ADIN,2016-05-31
01.6.2016,"300,00","300,00","300,00","300,00","-0,33",350.0,105.000,105.000,ADIN,2016-06-01
