Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars,date_parsed
11/3/2014,368.00,368.00,368.00,368.00,0.00,"49,651","18,271,568","18,271,568",2014-11-03
11/4/2014,368.00,/,/,368.00,0.00,0,0,0,2014-11-04
11/5/2014,368.00,/,/,368.00,0.00,0,0,0,2014-11-05
11/6/2014,368.00,/,/,368.00,0.00,0,0,0,2014-11-06
11/7/2014,368.00,/,/,368.00,0.00,0,0,0,2014-11-07
11/10/2014,368.00,/,/,368.00,0.00,0,0,0,2014-11-10
11/11/2014,368.00,/,/,368.00,0.00,0,0,0,2014-11-11
11/12/2014,368.00,/,/,368.00,0.00,0,0,0,2014-11-12
11/13/2014,368.00,/,/,368.00,0.00,0,0,0,2014-11-13
11/14/2014,368.00,/,/,368.00,0.00,0,0,0,2014-11-14
11/17/2014,368.00,/,/,368.00,0.00,0,0,0,2014-11-17
11/18/2014,368.00,/,/,368.00,0.00,0,0,0,2014-11-18
11/19/2014,368.00,/,/,368.00,0.00,0,0,0,2014-11-19
11/20/2014,368.00,/,/,368.00,0.00,0,0,0,2014-11-20
11/21/2014,368.00,/,/,368.00,0.00,0,0,0,2014-11-21
11/24/2014,368.00,/,/,368.00,0.00,0,0,0,2014-11-24
11/25/2014,368.00,/,/,368.00,0.00,0,0,0,2014-11-25
11/26/2014,368.00,/,/,368.00,0.00,0,0,0,2014-11-26
11/27/2014,368.00,/,/,368.00,0.00,0,0,0,2014-11-27
11/28/2014,368.00,/,/,368.00,0.00,0,0,0,2014-11-28
12/1/2014,368.00,/,/,368.00,0.00,0,0,0,2014-12-01
12/2/2014,368.00,/,/,368.00,0.00,0,0,0,2014-12-02
12/4/2014,368.00,/,/,368.00,0.00,0,0,0,2014-12-04
12/5/2014,368.00,/,/,368.00,0.00,0,0,0,2014-12-05
12/9/2014,368.00,/,/,368.00,0.00,0,0,0,2014-12-09
12/10/2014,368.00,/,/,368.00,0.00,0,0,0,2014-12-10
12/11/2014,368.00,/,/,368.00,0.00,0,0,0,2014-12-11
12/12/2014,368.00,/,/,368.00,0.00,0,0,0,2014-12-12
12/15/2014,368.00,/,/,368.00,0.00,0,0,0,2014-12-15
12/16/2014,368.00,/,/,368.00,0.00,0,0,0,2014-12-16
12/17/2014,368.00,/,/,368.00,0.00,0,0,0,2014-12-17
12/18/2014,368.00,/,/,368.00,0.00,0,0,0,2014-12-18
12/19/2014,360.00,360.00,360.00,360.00,-2.17,10,"3,600","3,600",2014-12-19
