Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars,datetime_parsed
26.07.2023,"320,00","320,00","320,00","320,00",/,"2,500","800.000,00","800.000,00",2023-07-26
27.07.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-07-27
28.07.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-07-28
31.07.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-07-31
01.08.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-08-01
03.08.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-08-03
04.08.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-08-04
07.08.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-08-07
08.08.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-08-08
09.08.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-08-09
10.08.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-08-10
11.08.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-08-11
14.08.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-08-14
15.08.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-08-15
16.08.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-08-16
17.08.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-08-17
18.08.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-08-18
21.08.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-08-21
22.08.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-08-22
23.08.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-08-23
24.08.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-08-24
25.08.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-08-25
29.08.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-08-29
30.08.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-08-30
31.08.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-08-31
01.09.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-09-01
04.09.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-09-04
05.09.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-09-05
06.09.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-09-06
07.09.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-09-07
11.09.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-09-11
12.09.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-09-12
13.09.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-09-13
14.09.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-09-14
15.09.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-09-15
18.09.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-09-18
19.09.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-09-19
20.09.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-09-20
21.09.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-09-21
22.09.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-09-22
25.09.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-09-25
26.09.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-09-26
27.09.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-09-27
28.09.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-09-28
29.09.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-09-29
02.10.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-10-02
03.10.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-10-03
04.10.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-10-04
05.10.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-10-05
06.10.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-10-06
09.10.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-10-09
10.10.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-10-10
12.10.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-10-12
13.10.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-10-13
16.10.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-10-16
17.10.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-10-17
18.10.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-10-18
19.10.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-10-19
20.10.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-10-20
24.10.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-10-24
25.10.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-10-25
26.10.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-10-26
27.10.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-10-27
30.10.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-10-30
31.10.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-10-31
01.11.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-11-01
02.11.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-11-02
03.11.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-11-03
06.11.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-11-06
07.11.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-11-07
08.11.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-11-08
09.11.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-11-09
10.11.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-11-10
13.11.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-11-13
14.11.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-11-14
15.11.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-11-15
16.11.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-11-16
17.11.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-11-17
20.11.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-11-20
21.11.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-11-21
22.11.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-11-22
23.11.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-11-23
24.11.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-11-24
27.11.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-11-27
28.11.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-11-28
29.11.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-11-29
30.11.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-11-30
01.12.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-12-01
04.12.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-12-04
05.12.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-12-05
06.12.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-12-06
07.12.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-12-07
11.12.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-12-11
12.12.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-12-12
13.12.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-12-13
14.12.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-12-14
15.12.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-12-15
18.12.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-12-18
19.12.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-12-19
20.12.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-12-20
21.12.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-12-21
22.12.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-12-22
25.12.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-12-25
26.12.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-12-26
27.12.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-12-27
28.12.2023,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2023-12-28
02.01.2024,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2024-01-02
03.01.2024,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2024-01-03
04.01.2024,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2024-01-04
05.01.2024,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2024-01-05
09.01.2024,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2024-01-09
10.01.2024,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2024-01-10
11.01.2024,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2024-01-11
12.01.2024,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2024-01-12
15.01.2024,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2024-01-15
16.01.2024,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2024-01-16
17.01.2024,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2024-01-17
18.01.2024,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2024-01-18
22.01.2024,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2024-01-22
23.01.2024,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2024-01-23
24.01.2024,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2024-01-24
25.01.2024,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2024-01-25
26.01.2024,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2024-01-26
29.01.2024,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2024-01-29
30.01.2024,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2024-01-30
31.01.2024,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2024-01-31
01.02.2024,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2024-02-01
02.02.2024,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2024-02-02
05.02.2024,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2024-02-05
06.02.2024,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2024-02-06
07.02.2024,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2024-02-07
08.02.2024,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2024-02-08
09.02.2024,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2024-02-09
12.02.2024,"320,00",/,/,"320,00","0,00",0,"0,00","0,00",2024-02-12
