Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars,datetime_parsed
10.11.2014,"2.110,00","2.110,00","2.100,00","2.100,41","-0,03",730,"1.533.300,00","1.533.300,00",2014-11-10
11.11.2014,"2.113,00","2.130,00","2.110,00","2.112,85","0,59",405,"855.705,00","855.705,00",2014-11-11
12.11.2014,"2.140,00","2.170,00","2.112,00","2.147,89","1,66","2,654","5.700.510,00","5.700.510,00",2014-11-12
13.11.2014,"2.152,00","2.170,00","2.150,00","2.151,40","0,16",509,"1.095.064,00","1.095.064,00",2014-11-13
14.11.2014,"2.152,00","2.160,00","2.150,00","2.155,54","0,19",65,"140.110,00","140.110,00",2014-11-14
17.11.2014,"2.150,00","2.151,00","2.150,00","2.150,22","-0,25",244,"524.653,00","524.653,00",2014-11-17
18.11.2014,"2.110,00","2.150,00","2.110,00","2.146,77","-0,16",413,"886.615,00","886.615,00",2014-11-18
19.11.2014,"2.083,00","2.086,00","2.083,00","2.083,47","-2,95",581,"1.210.497,00","1.210.497,00",2014-11-19
20.11.2014,"2.085,00","2.100,00","2.085,00","2.091,40","0,38",50,"104.570,00","104.570,00",2014-11-20
21.11.2014,"2.100,00","2.100,00","2.087,00","2.094,84","0,16",63,"131.975,00","131.975,00",2014-11-21
24.11.2014,"2.100,00","2.100,00","2.100,00","2.100,00","0,25",778,"1.633.800,00","1.633.800,00",2014-11-24
25.11.2014,"2.125,00","2.125,00","2.125,00","2.125,00","1,19",110,"233.750,00","233.750,00",2014-11-25
26.11.2014,"2.124,00","2.124,00","2.124,00","2.124,00","-0,05",70,"148.680,00","148.680,00",2014-11-26
27.11.2014,"2.100,00","2.100,00","2.100,00","2.100,00","-1,13",87,"182.700,00","182.700,00",2014-11-27
28.11.2014,"2.099,00","2.100,00","2.086,00","2.098,82","-0,06",263,"551.990,00","551.990,00",2014-11-28
01.12.2014,"2.085,00","2.100,00","2.085,00","2.092,50","-0,30",20,"41.850,00","41.850,00",2014-12-01
02.12.2014,"2.085,00",/,/,"2.092,50","0,00",0,"0,00","0,00",2014-12-02
04.12.2014,"2.085,00","2.085,00","2.085,00","2.085,00","-0,36",179,"373.215,00","373.215,00",2014-12-04
05.12.2014,"2.050,00","2.070,00","2.050,00","2.053,07","-1,53",116,"238.156,00","238.156,00",2014-12-05
09.12.2014,"2.080,00","2.080,00","2.050,00","2.071,73","0,91",742,"1.537.225,00","1.537.225,00",2014-12-09
10.12.2014,"2.090,00","2.090,00","2.050,00","2.089,24","0,85","11,015","23.012.990,00","23.012.990,00",2014-12-10
11.12.2014,"2.080,00","2.080,00","2.080,00","2.080,00","-0,44",10,"20.800,00","20.800,00",2014-12-11
12.12.2014,"2.080,00","2.080,00","2.080,00","2.080,00","0,00",1,"2.080,00","2.080,00",2014-12-12
15.12.2014,"2.080,00",/,/,"2.080,00","0,00",0,"0,00","0,00",2014-12-15
16.12.2014,"2.099,00","2.099,00","2.050,00","2.081,68","0,08",120,"249.802,00","249.802,00",2014-12-16
17.12.2014,"2.051,00","2.100,00","2.050,00","2.056,44","-1,21",200,"411.289,00","411.289,00",2014-12-17
