Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars,datetime_parsed
10.11.2014,"24.000,00","24.500,00","24.000,00","24.200,00","0,21",17,"411.400,00","411.400,00",2014-11-10
11.11.2014,"23.800,00","23.800,00","23.500,00","23.623,70","-2,38",27,"637.840,00","637.840,00",2014-11-11
12.11.2014,"24.000,00","24.000,00","23.999,00","23.999,70","1,59",10,"239.997,00","239.997,00",2014-11-12
13.11.2014,"23.280,00","23.500,00","23.280,00","23.392,50","-2,53",32,"748.560,00","748.560,00",2014-11-13
14.11.2014,"24.000,00","24.001,00","23.300,00","23.917,04","2,24",48,"1.148.018,00","1.148.018,00",2014-11-14
17.11.2014,"23.620,00","23.620,00","23.620,00","23.620,00","-1,24",2,"47.240,00","47.240,00",2014-11-17
18.11.2014,"23.610,00","23.620,00","23.610,00","23.614,44","-0,02",9,"212.530,00","212.530,00",2014-11-18
19.11.2014,"23.610,00",/,/,"23.614,44","0,00",0,"0,00","0,00",2014-11-19
20.11.2014,"23.490,00","23.500,00","23.200,00","23.369,17","-1,04",12,"280.430,00","280.430,00",2014-11-20
21.11.2014,"23.300,00","23.300,00","23.300,00","23.300,00","-0,30",2,"46.600,00","46.600,00",2014-11-21
24.11.2014,"23.000,00","23.000,00","23.000,00","23.000,00","-1,29",15,"345.000,00","345.000,00",2014-11-24
25.11.2014,"23.000,00",/,/,"23.000,00","0,00",0,"0,00","0,00",2014-11-25
26.11.2014,"23.000,00",/,/,"23.000,00","0,00",0,"0,00","0,00",2014-11-26
27.11.2014,"22.400,00","22.400,00","22.310,00","22.334,00","-2,90",15,"335.010,00","335.010,00",2014-11-27
28.11.2014,"22.360,00","22.800,00","22.360,00","22.631,25","1,33",8,"181.050,00","181.050,00",2014-11-28
01.12.2014,"22.100,00","22.700,00","22.100,00","22.500,00","-0,58",3,"67.500,00","67.500,00",2014-12-01
02.12.2014,"22.000,00","22.000,00","22.000,00","22.000,00","-2,22",10,"220.000,00","220.000,00",2014-12-02
04.12.2014,"22.000,00","22.000,00","22.000,00","22.000,00","0,00",8,"176.000,00","176.000,00",2014-12-04
05.12.2014,"21.500,00","21.800,00","21.500,00","21.660,71","-1,54",28,"606.500,00","606.500,00",2014-12-05
09.12.2014,"21.500,00","21.500,00","21.400,00","21.483,33","-0,82",30,"644.500,00","644.500,00",2014-12-09
10.12.2014,"22.000,00","22.000,00","21.300,00","21.526,32","0,20",19,"409.000,00","409.000,00",2014-12-10
11.12.2014,"22.150,00","22.150,00","21.560,00","21.891,67","1,70",12,"262.700,00","262.700,00",2014-12-11
12.12.2014,"22.000,00","22.100,00","21.999,00","22.049,60","0,72",10,"220.496,00","220.496,00",2014-12-12
15.12.2014,"22.000,00","22.000,00","21.600,00","21.850,20","-0,90",5,"109.251,00","109.251,00",2014-12-15
16.12.2014,"22.100,00","22.100,00","21.551,00","21.794,25","-0,26",8,"174.354,00","174.354,00",2014-12-16
17.12.2014,"21.700,00","22.400,00","21.700,00","22.192,29","1,83",7,"155.346,00","155.346,00",2014-12-17
18.12.2014,"22.000,00","22.000,00","22.000,00","22.000,00","-0,87",18,"396.000,00","396.000,00",2014-12-18
19.12.2014,"22.000,00","22.000,00","21.500,00","21.928,57","-0,32",7,"153.500,00","153.500,00",2014-12-19
22.12.2014,"22.200,00","22.200,00","22.200,00","22.200,00","1,24",9,"199.800,00","199.800,00",2014-12-22
23.12.2014,"22.200,00","22.200,00","22.200,00","22.200,00","0,00",2,"44.400,00","44.400,00",2014-12-23
24.12.2014,"22.000,00","22.000,00","22.000,00","22.000,00","-0,90",2,"44.000,00","44.000,00",2014-12-24
25.12.2014,"22.000,00",/,/,"22.000,00","0,00",0,"0,00","0,00",2014-12-25
26.12.2014,"22.000,00","22.000,00","22.000,00","22.000,00","0,00",3,"66.000,00","66.000,00",2014-12-26
29.12.2014,"22.000,00","22.200,00","22.000,00","22.088,89","0,40",72,"1.590.400,00","1.590.400,00",2014-12-29
30.12.2014,"22.000,00",/,/,"22.088,89","0,00",0,"0,00","0,00",2014-12-30
02.01.2015,"22.000,00","22.000,00","21.710,00","21.942,00","-0,66",5,"109.710,00","109.710,00",2015-01-02
05.01.2015,"22.000,00","22.499,00","22.000,00","22.199,60","1,17",5,"110.998,00","110.998,00",2015-01-05
08.01.2015,"21.710,00","21.710,00","21.710,00","21.710,00","-2,21",3,"65.130,00","65.130,00",2015-01-08
09.01.2015,"21.500,00","21.700,00","21.500,00","21.633,33","-0,35",9,"194.700,00","194.700,00",2015-01-09
12.01.2015,"21.500,00","21.500,00","21.500,00","21.500,00","-0,62",26,"559.000,00","559.000,00",2015-01-12
13.01.2015,"21.500,00","21.500,00","21.500,00","21.500,00","0,00",1,"21.500,00","21.500,00",2015-01-13
14.01.2015,"21.501,00","21.700,00","21.501,00","21.546,92","0,22",13,"280.110,00","280.110,00",2015-01-14
15.01.2015,"21.700,00","21.700,00","21.501,00","21.602,75","0,26",4,"86.411,00","86.411,00",2015-01-15
16.01.2015,"21.700,00","21.700,00","21.510,00","21.690,50","0,41",20,"433.810,00","433.810,00",2015-01-16
20.01.2015,"21.700,00","21.700,00","21.700,00","21.700,00","0,04",4,"86.800,00","86.800,00",2015-01-20
21.01.2015,"21.800,00","22.000,00","21.800,00","21.925,00","1,04",8,"175.400,00","175.400,00",2015-01-21
22.01.2015,"21.600,00","21.601,00","21.600,00","21.600,06","-1,48",33,"712.802,00","712.802,00",2015-01-22
23.01.2015,"22.000,00","22.200,00","22.000,00","22.057,14","2,12",7,"154.400,00","154.400,00",2015-01-23
26.01.2015,"21.800,00","22.000,00","21.800,00","21.894,12","-0,74",17,"372.200,00","372.200,00",2015-01-26
27.01.2015,"21.999,00","21.999,00","21.800,00","21.866,33","-0,13",9,"196.797,00","196.797,00",2015-01-27
28.01.2015,"22.000,00","22.000,00","22.000,00","22.000,00","0,61",1,"22.000,00","22.000,00",2015-01-28
29.01.2015,"22.000,00",/,/,"22.000,00","0,00",0,"0,00","0,00",2015-01-29
30.01.2015,"21.999,00","22.000,00","21.999,00","21.999,29","0,00",17,"373.988,00","373.988,00",2015-01-30
02.02.2015,"21.500,00","21.700,00","21.500,00","21.614,16","-1,75",38,"821.338,00","821.338,00",2015-02-02
03.02.2015,"21.500,00",/,/,"21.614,16","0,00",0,"0,00","0,00",2015-02-03
04.02.2015,"21.500,00","21.550,00","21.500,00","21.507,14","-0,50",14,"301.100,00","301.100,00",2015-02-04
05.02.2015,"21.500,00",/,/,"21.507,14","0,00",0,"0,00","0,00",2015-02-05
06.02.2015,"21.690,00","21.690,00","21.260,00","21.582,50","0,35",20,"431.650,00","431.650,00",2015-02-06
09.02.2015,"21.500,00","21.500,00","21.500,00","21.500,00","-0,38",15,"322.500,00","322.500,00",2015-02-09
10.02.2015,"21.500,00","21.500,00","21.500,00","21.500,00","0,00",15,"322.500,00","322.500,00",2015-02-10
11.02.2015,"21.300,00","21.301,00","21.300,00","21.300,08","-0,93",13,"276.901,00","276.901,00",2015-02-11
12.02.2015,"21.000,00","21.000,00","21.000,00","21.000,00","-1,41",5,"105.000,00","105.000,00",2015-02-12
13.02.2015,"20.800,00","20.800,00","20.800,00","20.800,00","-0,95",5,"104.000,00","104.000,00",2015-02-13
16.02.2015,"20.800,00","20.800,00","20.800,00","20.800,00","0,00",1,"20.800,00","20.800,00",2015-02-16
