Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars,datetime_parsed
10.11.2014,"3.800,00",/,/,"3.800,00","0,00",0,"0,00","0,00",2014-11-10
11.11.2014,"3.800,00","3.800,00","3.800,00","3.800,00","0,00",50,"190.000,00","190.000,00",2014-11-11
12.11.2014,"3.800,00","3.800,00","3.800,00","3.800,00","0,00",20,"76.000,00","76.000,00",2014-11-12
13.11.2014,"3.800,00","3.800,00","3.800,00","3.800,00","0,00",156,"592.800,00","592.800,00",2014-11-13
14.11.2014,"3.800,00","3.800,00","3.800,00","3.800,00","0,00",139,"528.200,00","528.200,00",2014-11-14
17.11.2014,"3.800,00",/,/,"3.800,00","0,00",0,"0,00","0,00",2014-11-17
18.11.2014,"3.800,00",/,/,"3.800,00","0,00",0,"0,00","0,00",2014-11-18
19.11.2014,"3.800,00",/,/,"3.800,00","0,00",0,"0,00","0,00",2014-11-19
20.11.2014,"3.800,00",/,/,"3.800,00","0,00",0,"0,00","0,00",2014-11-20
21.11.2014,"3.710,00","3.710,00","3.710,00","3.710,00","-2,37",50,"185.500,00","185.500,00",2014-11-21
24.11.2014,"3.700,00","3.700,00","3.700,00","3.700,00","-0,27",26,"96.200,00","96.200,00",2014-11-24
25.11.2014,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",5,"18.500,00","18.500,00",2014-11-25
26.11.2014,"3.700,00",/,/,"3.700,00","0,00",0,"0,00","0,00",2014-11-26
27.11.2014,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",40,"148.000,00","148.000,00",2014-11-27
28.11.2014,"3.700,00",/,/,"3.700,00","0,00",0,"0,00","0,00",2014-11-28
01.12.2014,"3.700,00",/,/,"3.700,00","0,00",0,"0,00","0,00",2014-12-01
02.12.2014,"3.700,00",/,/,"3.700,00","0,00",0,"0,00","0,00",2014-12-02
04.12.2014,"3.700,00",/,/,"3.700,00","0,00",0,"0,00","0,00",2014-12-04
05.12.2014,"3.700,00",/,/,"3.700,00","0,00",0,"0,00","0,00",2014-12-05
09.12.2014,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",25,"92.500,00","92.500,00",2014-12-09
10.12.2014,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",10,"37.000,00","37.000,00",2014-12-10
11.12.2014,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",70,"259.000,00","259.000,00",2014-12-11
12.12.2014,"3.700,00",/,/,"3.700,00","0,00",0,"0,00","0,00",2014-12-12
