Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars,datetime_parsed
10.11.2014,"500,00",/,/,"500,00","0,00",0,"0,00","0,00",2014-11-10
11.11.2014,"500,00",/,/,"500,00","0,00",0,"0,00","0,00",2014-11-11
12.11.2014,"500,00",/,/,"500,00","0,00",0,"0,00","0,00",2014-11-12
13.11.2014,"500,00",/,/,"500,00","0,00",0,"0,00","0,00",2014-11-13
14.11.2014,"701,00","701,00","701,00","701,00","40,20",60,"42.060,00","42.060,00",2014-11-14
17.11.2014,"700,00","700,00","700,00","700,00","-0,14",15,"10.500,00","10.500,00",2014-11-17
18.11.2014,"610,00","610,00","610,00","610,00","-12,86",10,"6.100,00","6.100,00",2014-11-18
19.11.2014,"610,00",/,/,"610,00","0,00",0,"0,00","0,00",2014-11-19
20.11.2014,"610,00",/,/,"610,00","0,00",0,"0,00","0,00",2014-11-20
21.11.2014,"610,00",/,/,"610,00","0,00",0,"0,00","0,00",2014-11-21
24.11.2014,"610,00",/,/,"610,00","0,00",0,"0,00","0,00",2014-11-24
25.11.2014,"610,00",/,/,"610,00","0,00",0,"0,00","0,00",2014-11-25
26.11.2014,"610,00",/,/,"610,00","0,00",0,"0,00","0,00",2014-11-26
27.11.2014,"610,00",/,/,"610,00","0,00",0,"0,00","0,00",2014-11-27
28.11.2014,"610,00",/,/,"610,00","0,00",0,"0,00","0,00",2014-11-28
01.12.2014,"610,00",/,/,"610,00","0,00",0,"0,00","0,00",2014-12-01
02.12.2014,"610,00",/,/,"610,00","0,00",0,"0,00","0,00",2014-12-02
04.12.2014,"610,00",/,/,"610,00","0,00",0,"0,00","0,00",2014-12-04
05.12.2014,"610,00",/,/,"610,00","0,00",0,"0,00","0,00",2014-12-05
09.12.2014,"610,00",/,/,"610,00","0,00",0,"0,00","0,00",2014-12-09
10.12.2014,"610,00",/,/,"610,00","0,00",0,"0,00","0,00",2014-12-10
11.12.2014,"610,00",/,/,"610,00","0,00",0,"0,00","0,00",2014-12-11
12.12.2014,"610,00",/,/,"610,00","0,00",0,"0,00","0,00",2014-12-12
15.12.2014,"610,00",/,/,"610,00","0,00",0,"0,00","0,00",2014-12-15
16.12.2014,"610,00",/,/,"610,00","0,00",0,"0,00","0,00",2014-12-16
17.12.2014,"610,00",/,/,"610,00","0,00",0,"0,00","0,00",2014-12-17
18.12.2014,"610,00",/,/,"610,00","0,00",0,"0,00","0,00",2014-12-18
19.12.2014,"610,00",/,/,"610,00","0,00",0,"0,00","0,00",2014-12-19
22.12.2014,"610,00",/,/,"610,00","0,00",0,"0,00","0,00",2014-12-22
23.12.2014,"610,00",/,/,"610,00","0,00",0,"0,00","0,00",2014-12-23
24.12.2014,"610,00",/,/,"610,00","0,00",0,"0,00","0,00",2014-12-24
25.12.2014,"610,00",/,/,"610,00","0,00",0,"0,00","0,00",2014-12-25
26.12.2014,"610,00",/,/,"610,00","0,00",0,"0,00","0,00",2014-12-26
29.12.2014,"550,00","550,00","550,00","550,00","-9,84",10,"5.500,00","5.500,00",2014-12-29
30.12.2014,"550,00",/,/,"550,00","0,00",0,"0,00","0,00",2014-12-30
02.01.2015,"550,00",/,/,"550,00","0,00",0,"0,00","0,00",2015-01-02
05.01.2015,"550,00",/,/,"550,00","0,00",0,"0,00","0,00",2015-01-05
08.01.2015,"550,00",/,/,"550,00","0,00",0,"0,00","0,00",2015-01-08
09.01.2015,"550,00",/,/,"550,00","0,00",0,"0,00","0,00",2015-01-09
12.01.2015,"550,00",/,/,"550,00","0,00",0,"0,00","0,00",2015-01-12
13.01.2015,"550,00",/,/,"550,00","0,00",0,"0,00","0,00",2015-01-13
14.01.2015,"550,00","550,00","550,00","550,00","0,00",6,"3.300,00","3.300,00",2015-01-14
15.01.2015,"550,00",/,/,"550,00","0,00",0,"0,00","0,00",2015-01-15
16.01.2015,"550,00","550,00","550,00","550,00","0,00",20,"11.000,00","11.000,00",2015-01-16
20.01.2015,"550,00",/,/,"550,00","0,00",0,"0,00","0,00",2015-01-20
21.01.2015,"550,00",/,/,"550,00","0,00",0,"0,00","0,00",2015-01-21
22.01.2015,"550,00",/,/,"550,00","0,00",0,"0,00","0,00",2015-01-22
23.01.2015,"550,00",/,/,"550,00","0,00",0,"0,00","0,00",2015-01-23
26.01.2015,"550,00",/,/,"550,00","0,00",0,"0,00","0,00",2015-01-26
27.01.2015,"550,00",/,/,"550,00","0,00",0,"0,00","0,00",2015-01-27
28.01.2015,"550,00",/,/,"550,00","0,00",0,"0,00","0,00",2015-01-28
29.01.2015,"550,00",/,/,"550,00","0,00",0,"0,00","0,00",2015-01-29
30.01.2015,"566,00","566,00","566,00","566,00","2,91",45,"25.470,00","25.470,00",2015-01-30
02.02.2015,"581,00","581,00","581,00","581,00","2,65",100,"58.100,00","58.100,00",2015-02-02
03.02.2015,"580,00","580,00","580,00","580,00","-0,17",59,"34.220,00","34.220,00",2015-02-03
04.02.2015,"580,00","580,00","580,00","580,00","0,00",14,"8.120,00","8.120,00",2015-02-04
05.02.2015,"580,00",/,/,"580,00","0,00",0,"0,00","0,00",2015-02-05
06.02.2015,"580,00",/,/,"580,00","0,00",0,"0,00","0,00",2015-02-06
09.02.2015,"580,00",/,/,"580,00","0,00",0,"0,00","0,00",2015-02-09
10.02.2015,"580,00",/,/,"580,00","0,00",0,"0,00","0,00",2015-02-10
11.02.2015,"580,00",/,/,"580,00","0,00",0,"0,00","0,00",2015-02-11
12.02.2015,"580,00",/,/,"580,00","0,00",0,"0,00","0,00",2015-02-12
13.02.2015,"580,00",/,/,"580,00","0,00",0,"0,00","0,00",2015-02-13
16.02.2015,"580,00","580,00","580,00","580,00","0,00",101,"58.580,00","58.580,00",2015-02-16
17.02.2015,"580,00",/,/,"580,00","0,00",0,"0,00","0,00",2015-02-17
18.02.2015,"580,00","580,00","580,00","580,00","0,00",89,"51.620,00","51.620,00",2015-02-18
19.02.2015,"580,00",/,/,"580,00","0,00",0,"0,00","0,00",2015-02-19
20.02.2015,"580,00",/,/,"580,00","0,00",0,"0,00","0,00",2015-02-20
23.02.2015,"580,00",/,/,"580,00","0,00",0,"0,00","0,00",2015-02-23
24.02.2015,"580,00",/,/,"580,00","0,00",0,"0,00","0,00",2015-02-24
25.02.2015,"580,00",/,/,"580,00","0,00",0,"0,00","0,00",2015-02-25
26.02.2015,"580,00",/,/,"580,00","0,00",0,"0,00","0,00",2015-02-26
27.02.2015,"580,00",/,/,"580,00","0,00",0,"0,00","0,00",2015-02-27
02.03.2015,"580,00",/,/,"580,00","0,00",0,"0,00","0,00",2015-03-02
03.03.2015,"580,00",/,/,"580,00","0,00",0,"0,00","0,00",2015-03-03
04.03.2015,"580,00",/,/,"580,00","0,00",0,"0,00","0,00",2015-03-04
05.03.2015,"580,00","580,00","580,00","580,00","0,00",10,"5.800,00","5.800,00",2015-03-05
