Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars,datetime_parsed
10.11.2014,"19.800,00",/,/,"19.800,00","0,00",0,"0,00","0,00",2014-11-10
11.11.2014,"19.800,00",/,/,"19.800,00","0,00",0,"0,00","0,00",2014-11-11
12.11.2014,"19.800,00",/,/,"19.800,00","0,00",0,"0,00","0,00",2014-11-12
13.11.2014,"18.500,00","18.500,00","18.500,00","18.500,00","-6,57",1,"18.500,00","18.500,00",2014-11-13
14.11.2014,"18.000,00","18.000,00","18.000,00","18.000,00","-2,70",32,"576.000,00","576.000,00",2014-11-14
17.11.2014,"18.500,00","18.500,00","18.500,00","18.500,00","2,78",10,"185.000,00","185.000,00",2014-11-17
18.11.2014,"18.600,00","18.600,00","18.600,00","18.600,00","0,54",11,"204.600,00","204.600,00",2014-11-18
19.11.2014,"18.999,00","18.999,00","18.999,00","18.999,00","2,15",15,"284.985,00","284.985,00",2014-11-19
20.11.2014,"18.999,00",/,/,"18.999,00","0,00",0,"0,00","0,00",2014-11-20
21.11.2014,"19.000,00","19.000,00","19.000,00","19.000,00","0,01",50,"950.000,00","950.000,00",2014-11-21
24.11.2014,"19.570,00","19.570,00","19.570,00","19.570,00","3,00",5,"97.850,00","97.850,00",2014-11-24
25.11.2014,"19.567,00","19.567,00","19.567,00","19.567,00","-0,02",14,"273.938,00","273.938,00",2014-11-25
26.11.2014,"19.567,00",/,/,"19.567,00","0,00",0,"0,00","0,00",2014-11-26
27.11.2014,"19.800,00","19.800,00","19.800,00","19.800,00","1,19",15,"297.000,00","297.000,00",2014-11-27
28.11.2014,"19.800,00",/,/,"19.800,00","0,00",0,"0,00","0,00",2014-11-28
01.12.2014,"19.210,00","19.210,00","19.210,00","19.210,00","-2,98",23,"441.830,00","441.830,00",2014-12-01
02.12.2014,"19.210,00",/,/,"19.210,00","0,00",0,"0,00","0,00",2014-12-02
04.12.2014,"19.210,00",/,/,"19.210,00","0,00",0,"0,00","0,00",2014-12-04
05.12.2014,"19.211,00","19.211,00","19.211,00","19.211,00","0,01",30,"576.330,00","576.330,00",2014-12-05
09.12.2014,"19.211,00",/,/,"19.211,00","0,00",0,"0,00","0,00",2014-12-09
10.12.2014,"19.211,00",/,/,"19.211,00","0,00",0,"0,00","0,00",2014-12-10
11.12.2014,"19.211,00",/,/,"19.211,00","0,00",0,"0,00","0,00",2014-12-11
12.12.2014,"19.211,00",/,/,"19.211,00","0,00",0,"0,00","0,00",2014-12-12
15.12.2014,"19.211,00",/,/,"19.211,00","0,00",0,"0,00","0,00",2014-12-15
16.12.2014,"19.211,00",/,/,"19.211,00","0,00",0,"0,00","0,00",2014-12-16
17.12.2014,"19.211,00",/,/,"19.211,00","0,00",0,"0,00","0,00",2014-12-17
18.12.2014,"19.211,00",/,/,"19.211,00","0,00",0,"0,00","0,00",2014-12-18
19.12.2014,"19.211,00",/,/,"19.211,00","0,00",0,"0,00","0,00",2014-12-19
22.12.2014,"19.211,00",/,/,"19.211,00","0,00",0,"0,00","0,00",2014-12-22
23.12.2014,"19.211,00",/,/,"19.211,00","0,00",0,"0,00","0,00",2014-12-23
24.12.2014,"19.211,00",/,/,"19.211,00","0,00",0,"0,00","0,00",2014-12-24
25.12.2014,"19.211,00",/,/,"19.211,00","0,00",0,"0,00","0,00",2014-12-25
26.12.2014,"19.211,00",/,/,"19.211,00","0,00",0,"0,00","0,00",2014-12-26
29.12.2014,"19.211,00",/,/,"19.211,00","0,00",0,"0,00","0,00",2014-12-29
30.12.2014,"19.211,00",/,/,"19.211,00","0,00",0,"0,00","0,00",2014-12-30
02.01.2015,"19.211,00",/,/,"19.211,00","0,00",0,"0,00","0,00",2015-01-02
05.01.2015,"19.211,00",/,/,"19.211,00","0,00",0,"0,00","0,00",2015-01-05
08.01.2015,"19.211,00",/,/,"19.211,00","0,00",0,"0,00","0,00",2015-01-08
09.01.2015,"19.211,00",/,/,"19.211,00","0,00",0,"0,00","0,00",2015-01-09
12.01.2015,"19.200,00","19.200,00","19.200,00","19.200,00","-0,06",20,"384.000,00","384.000,00",2015-01-12
13.01.2015,"19.211,00","19.211,00","19.211,00","19.211,00","0,06",35,"672.385,00","672.385,00",2015-01-13
14.01.2015,"19.211,00",/,/,"19.211,00","0,00",0,"0,00","0,00",2015-01-14
15.01.2015,"19.500,00","19.750,00","19.500,00","19.721,30","2,66",270,"5.324.750,00","5.324.750,00",2015-01-15
16.01.2015,"20.000,00","20.200,00","20.000,00","20.058,82","1,71",17,"341.000,00","341.000,00",2015-01-16
20.01.2015,"20.001,00","21.820,00","20.001,00","20.980,46","4,59",13,"272.746,00","272.746,00",2015-01-20
21.01.2015,"20.001,00",/,/,"20.980,46","0,00",0,"0,00","0,00",2015-01-21
22.01.2015,"21.000,00","21.000,00","21.000,00","21.000,00","0,09",3,"63.000,00","63.000,00",2015-01-22
23.01.2015,"21.000,00",/,/,"21.000,00","0,00",0,"0,00","0,00",2015-01-23
26.01.2015,"21.000,00",/,/,"21.000,00","0,00",0,"0,00","0,00",2015-01-26
27.01.2015,"21.000,00",/,/,"21.000,00","0,00",0,"0,00","0,00",2015-01-27
28.01.2015,"21.000,00",/,/,"21.000,00","0,00",0,"0,00","0,00",2015-01-28
29.01.2015,"21.000,00",/,/,"21.000,00","0,00",0,"0,00","0,00",2015-01-29
30.01.2015,"19.800,00","19.800,00","19.800,00","19.800,00","-5,71",5,"99.000,00","99.000,00",2015-01-30
02.02.2015,"19.800,00","19.800,00","19.800,00","19.800,00","0,00",23,"455.400,00","455.400,00",2015-02-02
03.02.2015,"19.800,00",/,/,"19.800,00","0,00",0,"0,00","0,00",2015-02-03
04.02.2015,"20.350,00","20.350,00","20.350,00","20.350,00","2,78",6,"122.100,00","122.100,00",2015-02-04
05.02.2015,"20.390,00","20.390,00","20.390,00","20.390,00","0,20",2,"40.780,00","40.780,00",2015-02-05
06.02.2015,"20.000,00","20.000,00","20.000,00","20.000,00","-1,91",3,"60.000,00","60.000,00",2015-02-06
09.02.2015,"20.000,00",/,/,"20.000,00","0,00",0,"0,00","0,00",2015-02-09
10.02.2015,"20.000,00",/,/,"20.000,00","0,00",0,"0,00","0,00",2015-02-10
