Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars,datetime_parsed
30.05.2024,/,/,/,/,/,0,"0,00","0,00",2024-05-30
31.05.2024,"615,00","615,00","615,00","615,00",/,75,"46.125,00","46.125,00",2024-05-31
03.06.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-06-03
04.06.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-06-04
05.06.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-06-05
06.06.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-06-06
07.06.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-06-07
10.06.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-06-10
11.06.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-06-11
12.06.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-06-12
13.06.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-06-13
14.06.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-06-14
17.06.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-06-17
18.06.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-06-18
19.06.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-06-19
20.06.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-06-20
24.06.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-06-24
25.06.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-06-25
26.06.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-06-26
27.06.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-06-27
28.06.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-06-28
01.07.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-07-01
02.07.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-07-02
03.07.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-07-03
04.07.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-07-04
05.07.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-07-05
08.07.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-07-08
09.07.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-07-09
10.07.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-07-10
11.07.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-07-11
12.07.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-07-12
15.07.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-07-15
16.07.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-07-16
17.07.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-07-17
18.07.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-07-18
19.07.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-07-19
22.07.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-07-22
23.07.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-07-23
24.07.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-07-24
25.07.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-07-25
26.07.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-07-26
29.07.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-07-29
30.07.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-07-30
31.07.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-07-31
01.08.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-08-01
05.08.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-08-05
06.08.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-08-06
07.08.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-08-07
08.08.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-08-08
09.08.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-08-09
12.08.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-08-12
13.08.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-08-13
14.08.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-08-14
15.08.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-08-15
16.08.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-08-16
19.08.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-08-19
20.08.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-08-20
21.08.2024,"615,00",/,/,"615,00","0,00",0,"0,00","0,00",2024-08-21
