Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars,datetime_parsed
10.11.2014,"1.400,00",/,/,"1.400,00","0,00",0,"0,00","0,00",2014-11-10
11.11.2014,"1.400,00","1.400,00","1.400,00","1.400,00","0,00",70,"98.000,00","98.000,00",2014-11-11
12.11.2014,"1.440,00","1.440,00","1.439,00","1.439,94","2,85",396,"570.215,00","570.215,00",2014-11-12
13.11.2014,"1.440,00",/,/,"1.439,94","0,00",0,"0,00","0,00",2014-11-13
14.11.2014,"1.540,00","1.540,00","1.501,00","1.517,71","5,40",70,"106.240,00","106.240,00",2014-11-14
17.11.2014,"1.669,00","1.669,00","1.563,00","1.648,18","8,60",280,"461.490,00","461.490,00",2014-11-17
18.11.2014,"1.599,00","1.697,00","1.599,00","1.658,74","0,64",707,"1.172.731,00","1.172.731,00",2014-11-18
19.11.2014,"1.610,00","1.610,00","1.610,00","1.610,00","-2,94",30,"48.300,00","48.300,00",2014-11-19
20.11.2014,"1.600,00","1.600,00","1.600,00","1.600,00","-0,62",256,"409.600,00","409.600,00",2014-11-20
21.11.2014,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",84,"134.400,00","134.400,00",2014-11-21
24.11.2014,"1.600,00",/,/,"1.600,00","0,00",0,"0,00","0,00",2014-11-24
25.11.2014,"1.645,00","1.645,00","1.645,00","1.645,00","2,81",23,"37.835,00","37.835,00",2014-11-25
26.11.2014,"1.600,00","1.600,00","1.600,00","1.600,00","-2,74",74,"118.400,00","118.400,00",2014-11-26
27.11.2014,"1.575,00","1.575,00","1.575,00","1.575,00","-1,56",66,"103.950,00","103.950,00",2014-11-27
28.11.2014,"1.622,00","1.622,00","1.622,00","1.622,00","2,98",28,"45.416,00","45.416,00",2014-11-28
01.12.2014,"1.622,00","1.622,00","1.622,00","1.622,00","0,00",10,"16.220,00","16.220,00",2014-12-01
02.12.2014,"1.575,00","1.575,00","1.575,00","1.575,00","-2,90",19,"29.925,00","29.925,00",2014-12-02
04.12.2014,"1.575,00","1.575,00","1.575,00","1.575,00","0,00",15,"23.625,00","23.625,00",2014-12-04
05.12.2014,"1.575,00","1.575,00","1.575,00","1.575,00","0,00",280,"441.000,00","441.000,00",2014-12-05
