Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars,datetime_parsed
10.11.2014,"379,00","409,00","379,00","384,13","-6,31",849,"326.126,00","326.126,00",2014-11-10
11.11.2014,"409,00","409,00","381,00","390,21","1,58","5,398","2.106.346,00","2.106.346,00",2014-11-11
12.11.2014,"415,00","416,00","415,00","415,07","6,37","2,687","1.115.305,00","1.115.305,00",2014-11-12
13.11.2014,"415,00","415,00","410,00","414,44","-0,15",901,"373.410,00","373.410,00",2014-11-13
14.11.2014,"415,00",/,/,"414,44","0,00",0,"0,00","0,00",2014-11-14
17.11.2014,"375,00","400,00","375,00","383,21","-7,54",329,"126.075,00","126.075,00",2014-11-17
18.11.2014,"399,00","399,00","388,00","389,65","1,68",40,"15.586,00","15.586,00",2014-11-18
19.11.2014,"378,00","378,00","378,00","378,00","-2,99",200,"75.600,00","75.600,00",2014-11-19
20.11.2014,"378,00",/,/,"378,00","0,00",0,"0,00","0,00",2014-11-20
21.11.2014,"378,00",/,/,"378,00","0,00",0,"0,00","0,00",2014-11-21
24.11.2014,"341,00","341,00","341,00","341,00","-9,79","1,791","610.731,00","610.731,00",2014-11-24
25.11.2014,"340,00","340,00","335,00","337,53","-1,02",790,"266.650,00","266.650,00",2014-11-25
26.11.2014,"340,00",/,/,"337,53","0,00",0,"0,00","0,00",2014-11-26
27.11.2014,"340,00",/,/,"337,53","0,00",0,"0,00","0,00",2014-11-27
28.11.2014,"369,00","371,00","369,00","370,18","9,67",170,"62.930,00","62.930,00",2014-11-28
01.12.2014,"360,00","360,00","360,00","360,00","-2,75",312,"112.320,00","112.320,00",2014-12-01
02.12.2014,"350,00","350,00","350,00","350,00","-2,78",732,"256.200,00","256.200,00",2014-12-02
04.12.2014,"345,00","345,00","345,00","345,00","-1,43","1,555","536.475,00","536.475,00",2014-12-04
05.12.2014,"350,00","350,00","345,00","347,25","0,65","1,888","655.600,00","655.600,00",2014-12-05
09.12.2014,"359,00","359,00","359,00","359,00","3,38",30,"10.770,00","10.770,00",2014-12-09
10.12.2014,"350,00","350,00","350,00","350,00","-2,51",282,"98.700,00","98.700,00",2014-12-10
11.12.2014,"360,00","360,00","360,00","360,00","2,86",170,"61.200,00","61.200,00",2014-12-11
12.12.2014,"375,00","375,00","360,00","361,27","0,35",415,"149.925,00","149.925,00",2014-12-12
15.12.2014,"372,00","372,00","351,00","351,96","-2,58",524,"184.428,00","184.428,00",2014-12-15
16.12.2014,"360,00","360,00","360,00","360,00","2,28",200,"72.000,00","72.000,00",2014-12-16
17.12.2014,"370,00","370,00","370,00","370,00","2,78",50,"18.500,00","18.500,00",2014-12-17
18.12.2014,"361,00","370,00","361,00","366,38","-0,98",271,"99.289,00","99.289,00",2014-12-18
19.12.2014,"361,00",/,/,"366,38","0,00",0,"0,00","0,00",2014-12-19
22.12.2014,"372,00","372,00","370,00","370,24","1,05",286,"105.888,00","105.888,00",2014-12-22
23.12.2014,"370,00","370,00","370,00","370,00","-0,06",866,"320.420,00","320.420,00",2014-12-23
24.12.2014,"370,00","370,00","370,00","370,00","0,00",49,"18.130,00","18.130,00",2014-12-24
25.12.2014,"370,00","370,00","370,00","370,00","0,00",178,"65.860,00","65.860,00",2014-12-25
26.12.2014,"369,00","369,00","369,00","369,00","-0,27",222,"81.918,00","81.918,00",2014-12-26
