Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars,datetime_parsed
10.11.2014,"450,00","450,00","450,00","450,00","0,00",100,"45.000,00","45.000,00",2014-11-10
11.11.2014,"450,00",/,/,"450,00","0,00",0,"0,00","0,00",2014-11-11
12.11.2014,"441,00","441,00","441,00","441,00","-2,00",310,"136.710,00","136.710,00",2014-11-12
13.11.2014,"440,00","440,00","440,00","440,00","-0,23",423,"186.120,00","186.120,00",2014-11-13
14.11.2014,"440,00",/,/,"440,00","0,00",0,"0,00","0,00",2014-11-14
17.11.2014,"440,00",/,/,"440,00","0,00",0,"0,00","0,00",2014-11-17
18.11.2014,"440,00",/,/,"440,00","0,00",0,"0,00","0,00",2014-11-18
19.11.2014,"390,00","390,00","390,00","390,00","-11,36",250,"97.500,00","97.500,00",2014-11-19
20.11.2014,"390,00",/,/,"390,00","0,00",0,"0,00","0,00",2014-11-20
21.11.2014,"390,00",/,/,"390,00","0,00",0,"0,00","0,00",2014-11-21
24.11.2014,"390,00",/,/,"390,00","0,00",0,"0,00","0,00",2014-11-24
25.11.2014,"379,00","379,00","379,00","379,00","-2,82",91,"34.489,00","34.489,00",2014-11-25
26.11.2014,"379,00",/,/,"379,00","0,00",0,"0,00","0,00",2014-11-26
27.11.2014,"379,00",/,/,"379,00","0,00",0,"0,00","0,00",2014-11-27
28.11.2014,"379,00",/,/,"379,00","0,00",0,"0,00","0,00",2014-11-28
01.12.2014,"390,00","390,00","390,00","390,00","2,90",197,"76.830,00","76.830,00",2014-12-01
02.12.2014,"390,00",/,/,"390,00","0,00",0,"0,00","0,00",2014-12-02
04.12.2014,"390,00",/,/,"390,00","0,00",0,"0,00","0,00",2014-12-04
05.12.2014,"390,00",/,/,"390,00","0,00",0,"0,00","0,00",2014-12-05
09.12.2014,"390,00",/,/,"390,00","0,00",0,"0,00","0,00",2014-12-09
10.12.2014,"390,00",/,/,"390,00","0,00",0,"0,00","0,00",2014-12-10
11.12.2014,"379,00","379,00","379,00","379,00","-2,82",144,"54.576,00","54.576,00",2014-12-11
12.12.2014,"379,00",/,/,"379,00","0,00",0,"0,00","0,00",2014-12-12
15.12.2014,"379,00",/,/,"379,00","0,00",0,"0,00","0,00",2014-12-15
16.12.2014,"379,00","379,00","379,00","379,00","0,00",100,"37.900,00","37.900,00",2014-12-16
17.12.2014,"379,00",/,/,"379,00","0,00",0,"0,00","0,00",2014-12-17
18.12.2014,"380,00","380,00","380,00","380,00","0,26",366,"139.080,00","139.080,00",2014-12-18
19.12.2014,"380,00",/,/,"380,00","0,00",0,"0,00","0,00",2014-12-19
22.12.2014,"380,00","380,00","380,00","380,00","0,00",120,"45.600,00","45.600,00",2014-12-22
23.12.2014,"380,00","380,00","380,00","380,00","0,00",74,"28.120,00","28.120,00",2014-12-23
24.12.2014,"380,00",/,/,"380,00","0,00",0,"0,00","0,00",2014-12-24
25.12.2014,"380,00",/,/,"380,00","0,00",0,"0,00","0,00",2014-12-25
26.12.2014,"380,00",/,/,"380,00","0,00",0,"0,00","0,00",2014-12-26
29.12.2014,"380,00",/,/,"380,00","0,00",0,"0,00","0,00",2014-12-29
30.12.2014,"380,00",/,/,"380,00","0,00",0,"0,00","0,00",2014-12-30
02.01.2015,"380,00",/,/,"380,00","0,00",0,"0,00","0,00",2015-01-02
