Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars,datetime_parsed
10.11.2014,"84,00","84,00","84,00","84,00","0,00",600,"50.400,00","50.400,00",2014-11-10
11.11.2014,"82,00","82,00","82,00","82,00","-2,38",593,"48.626,00","48.626,00",2014-11-11
12.11.2014,"85,00","85,00","84,00","84,49","3,04","2,850","240.800,00","240.800,00",2014-11-12
13.11.2014,"85,00",/,/,"84,49","0,00",0,"0,00","0,00",2014-11-13
14.11.2014,"86,00","86,00","86,00","86,00","1,79","1,750","150.500,00","150.500,00",2014-11-14
17.11.2014,"84,00","84,00","84,00","84,00","-2,33",15,"1.260,00","1.260,00",2014-11-17
18.11.2014,"84,00",/,/,"84,00","0,00",0,"0,00","0,00",2014-11-18
19.11.2014,"82,00","82,00","82,00","82,00","-2,38","1,550","127.100,00","127.100,00",2014-11-19
20.11.2014,"81,00","81,00","81,00","81,00","-1,22",706,"57.186,00","57.186,00",2014-11-20
21.11.2014,"83,00","83,00","83,00","83,00","2,47",100,"8.300,00","8.300,00",2014-11-21
24.11.2014,"81,00","81,00","81,00","81,00","-2,41",600,"48.600,00","48.600,00",2014-11-24
25.11.2014,"79,00","80,00","79,00","79,91","-1,35","3,533","282.307,00","282.307,00",2014-11-25
26.11.2014,"79,00",/,/,"79,91","0,00",0,"0,00","0,00",2014-11-26
27.11.2014,"78,00","78,00","78,00","78,00","-2,39",500,"39.000,00","39.000,00",2014-11-27
28.11.2014,"78,00",/,/,"78,00","0,00",0,"0,00","0,00",2014-11-28
01.12.2014,"78,00",/,/,"78,00","0,00",0,"0,00","0,00",2014-12-01
02.12.2014,"80,00","80,00","78,00","79,99","2,55",402,"32.156,00","32.156,00",2014-12-02
04.12.2014,"78,00","78,00","78,00","78,00","-2,49",300,"23.400,00","23.400,00",2014-12-04
05.12.2014,"78,00","78,00","78,00","78,00","0,00","1,752","136.656,00","136.656,00",2014-12-05
09.12.2014,"74,00","74,00","74,00","74,00","-5,13",357,"26.418,00","26.418,00",2014-12-09
10.12.2014,"74,00",/,/,"74,00","0,00",0,"0,00","0,00",2014-12-10
11.12.2014,"80,00","80,00","80,00","80,00","8,11",500,"40.000,00","40.000,00",2014-12-11
12.12.2014,"80,00","80,00","80,00","80,00","0,00",200,"16.000,00","16.000,00",2014-12-12
15.12.2014,"80,00",/,/,"80,00","0,00",0,"0,00","0,00",2014-12-15
16.12.2014,"78,00","78,00","78,00","78,00","-2,50",502,"39.156,00","39.156,00",2014-12-16
17.12.2014,"78,00","78,00","78,00","78,00","0,00",159,"12.402,00","12.402,00",2014-12-17
18.12.2014,"78,00","78,00","78,00","78,00","0,00","1,317","102.726,00","102.726,00",2014-12-18
19.12.2014,"78,00","80,00","78,00","79,16","1,49",862,"68.240,00","68.240,00",2014-12-19
22.12.2014,"78,00","78,00","78,00","78,00","-1,47",486,"37.908,00","37.908,00",2014-12-22
23.12.2014,"78,00","78,00","78,00","78,00","0,00","1,000","78.000,00","78.000,00",2014-12-23
24.12.2014,"78,00","79,00","78,00","78,84","1,08",595,"46.910,00","46.910,00",2014-12-24
25.12.2014,"78,00","78,00","78,00","78,00","-1,07",530,"41.340,00","41.340,00",2014-12-25
26.12.2014,"80,00","80,00","80,00","80,00","2,56",340,"27.200,00","27.200,00",2014-12-26
29.12.2014,"82,00","82,00","82,00","82,00","2,50",100,"8.200,00","8.200,00",2014-12-29
30.12.2014,"82,00",/,/,"82,00","0,00",0,"0,00","0,00",2014-12-30
02.01.2015,"82,00",/,/,"82,00","0,00",0,"0,00","0,00",2015-01-02
