Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars,datetime_parsed
10.11.2014,"300,00","301,00","300,00","300,66","-0,11","3,431","1.031.551,00","1.031.551,00",2014-11-10
11.11.2014,"300,00",/,/,"300,66","0,00",0,"0,00","0,00",2014-11-11
12.11.2014,"300,00",/,/,"300,66","0,00",0,"0,00","0,00",2014-11-12
13.11.2014,"292,00","292,00","292,00","292,00","-2,88",100,"29.200,00","29.200,00",2014-11-13
14.11.2014,"292,00","292,00","292,00","292,00","0,00",200,"58.400,00","58.400,00",2014-11-14
17.11.2014,"285,00","286,00","285,00","285,44","-2,25",450,"128.450,00","128.450,00",2014-11-17
18.11.2014,"284,00","286,00","280,00","284,05","-0,49","4,695","1.333.630,00","1.333.630,00",2014-11-18
19.11.2014,"286,00","286,00","285,00","285,01","0,34","2,603","741.885,00","741.885,00",2014-11-19
20.11.2014,"290,00","290,00","290,00","290,00","1,75",100,"29.000,00","29.000,00",2014-11-20
21.11.2014,"290,00","290,00","289,00","289,15","-0,29","2,240","647.700,00","647.700,00",2014-11-21
24.11.2014,"282,00","286,00","282,00","282,02","-2,47","60,000","16.921.500,00","16.921.500,00",2014-11-24
25.11.2014,"282,00",/,/,"282,02","0,00",0,"0,00","0,00",2014-11-25
26.11.2014,"282,00","282,00","282,00","282,00","-0,01","1,105","311.610,00","311.610,00",2014-11-26
27.11.2014,"282,00","282,00","282,00","282,00","0,00",5,"1.410,00","1.410,00",2014-11-27
28.11.2014,"282,00","282,00","282,00","282,00","0,00",75,"21.150,00","21.150,00",2014-11-28
01.12.2014,"280,00","280,00","280,00","280,00","-0,71",37,"10.360,00","10.360,00",2014-12-01
02.12.2014,"280,00",/,/,"280,00","0,00",0,"0,00","0,00",2014-12-02
04.12.2014,"282,00","282,00","282,00","282,00","0,71",350,"98.700,00","98.700,00",2014-12-04
05.12.2014,"282,00","289,00","282,00","282,19","0,07","1,125","317.460,00","317.460,00",2014-12-05
09.12.2014,"289,00","289,00","289,00","289,00","2,41",100,"28.900,00","28.900,00",2014-12-09
10.12.2014,"281,00","282,00","281,00","281,20","-2,70",500,"140.600,00","140.600,00",2014-12-10
11.12.2014,"288,00","288,00","288,00","288,00","2,42","4,000","1.152.000,00","1.152.000,00",2014-12-11
12.12.2014,"289,00","289,00","289,00","289,00","0,35",56,"16.184,00","16.184,00",2014-12-12
15.12.2014,"289,00",/,/,"289,00","0,00",0,"0,00","0,00",2014-12-15
16.12.2014,"289,00",/,/,"289,00","0,00",0,"0,00","0,00",2014-12-16
17.12.2014,"282,00","287,00","282,00","282,04","-2,41","62,000","17.486.570,00","17.486.570,00",2014-12-17
18.12.2014,"282,00",/,/,"282,04","0,00",0,"0,00","0,00",2014-12-18
19.12.2014,"282,00","282,00","282,00","282,00","-0,01","2,400","676.800,00","676.800,00",2014-12-19
22.12.2014,"282,00","282,00","282,00","282,00","0,00",700,"197.400,00","197.400,00",2014-12-22
23.12.2014,"286,00","286,00","285,00","285,42","1,21",830,"236.900,00","236.900,00",2014-12-23
