Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars,datetime_parsed
10.11.2014,"5.200,00","5.200,00","5.200,00","5.200,00","2,31",24,"124.800,00","124.800,00",2014-11-10
11.11.2014,"5.300,00","5.300,00","5.199,00","5.221,96","0,42",226,"1.180.162,00","1.180.162,00",2014-11-11
12.11.2014,"5.300,00","5.300,00","5.299,00","5.299,88","1,49",82,"434.590,00","434.590,00",2014-11-12
13.11.2014,"5.300,00",/,/,"5.299,88","0,00",0,"0,00","0,00",2014-11-13
14.11.2014,"5.301,00","5.458,00","5.301,00","5.314,58","0,28",139,"738.726,00","738.726,00",2014-11-14
17.11.2014,"5.474,00","5.474,00","5.474,00","5.474,00","3,00",4,"21.896,00","21.896,00",2014-11-17
18.11.2014,"5.500,00","5.500,00","5.400,00","5.481,45","0,14",11,"60.296,00","60.296,00",2014-11-18
19.11.2014,"5.310,00","5.310,00","5.310,00","5.310,00","-3,13",70,"371.700,00","371.700,00",2014-11-19
20.11.2014,"5.470,00","5.470,00","5.470,00","5.470,00","3,01",9,"49.230,00","49.230,00",2014-11-20
21.11.2014,"5.470,00",/,/,"5.470,00","0,00",0,"0,00","0,00",2014-11-21
24.11.2014,"5.311,00","5.311,00","5.311,00","5.311,00","-2,91",200,"1.062.200,00","1.062.200,00",2014-11-24
25.11.2014,"5.300,00","5.301,00","5.300,00","5.300,25","-0,20",40,"212.010,00","212.010,00",2014-11-25
26.11.2014,"5.300,00","5.300,00","5.300,00","5.300,00","0,00",58,"307.400,00","307.400,00",2014-11-26
27.11.2014,"5.300,00","5.300,00","5.300,00","5.300,00","0,00",38,"201.400,00","201.400,00",2014-11-27
28.11.2014,"5.300,00",/,/,"5.300,00","0,00",0,"0,00","0,00",2014-11-28
01.12.2014,"5.300,00",/,/,"5.300,00","0,00",0,"0,00","0,00",2014-12-01
02.12.2014,"5.300,00",/,/,"5.300,00","0,00",0,"0,00","0,00",2014-12-02
04.12.2014,"5.300,00","5.300,00","5.300,00","5.300,00","0,00",66,"349.800,00","349.800,00",2014-12-04
05.12.2014,"5.300,00","5.300,00","5.300,00","5.300,00","0,00",12,"63.600,00","63.600,00",2014-12-05
09.12.2014,"5.300,00",/,/,"5.300,00","0,00",0,"0,00","0,00",2014-12-09
10.12.2014,"5.300,00",/,/,"5.300,00","0,00",0,"0,00","0,00",2014-12-10
11.12.2014,"5.300,00",/,/,"5.300,00","0,00",0,"0,00","0,00",2014-12-11
12.12.2014,"5.300,00",/,/,"5.300,00","0,00",0,"0,00","0,00",2014-12-12
15.12.2014,"5.152,00","5.152,00","5.152,00","5.152,00","-2,79",50,"257.600,00","257.600,00",2014-12-15
16.12.2014,"5.152,00",/,/,"5.152,00","0,00",0,"0,00","0,00",2014-12-16
17.12.2014,"5.120,00","5.120,00","5.100,00","5.116,67","-0,69",240,"1.228.000,00","1.228.000,00",2014-12-17
18.12.2014,"5.120,00",/,/,"5.116,67","0,00",0,"0,00","0,00",2014-12-18
19.12.2014,"5.120,00",/,/,"5.116,67","0,00",0,"0,00","0,00",2014-12-19
22.12.2014,"5.120,00",/,/,"5.116,67","0,00",0,"0,00","0,00",2014-12-22
23.12.2014,"5.120,00",/,/,"5.116,67","0,00",0,"0,00","0,00",2014-12-23
24.12.2014,"5.120,00",/,/,"5.116,67","0,00",0,"0,00","0,00",2014-12-24
25.12.2014,"5.120,00",/,/,"5.116,67","0,00",0,"0,00","0,00",2014-12-25
26.12.2014,"5.120,00",/,/,"5.116,67","0,00",0,"0,00","0,00",2014-12-26
29.12.2014,"5.150,00","5.150,00","5.120,00","5.122,50","0,11",60,"307.350,00","307.350,00",2014-12-29
30.12.2014,"5.298,00","5.299,00","5.298,00","5.298,50","3,44",10,"52.985,00","52.985,00",2014-12-30
02.01.2015,"5.298,00",/,/,"5.298,50","0,00",0,"0,00","0,00",2015-01-02
05.01.2015,"5.400,00","5.400,00","5.299,00","5.349,50","0,96",10,"53.495,00","53.495,00",2015-01-05
08.01.2015,"5.301,00","5.301,00","5.301,00","5.301,00","-0,91",55,"291.555,00","291.555,00",2015-01-08
09.01.2015,"5.301,00",/,/,"5.301,00","0,00",0,"0,00","0,00",2015-01-09
12.01.2015,"5.350,00","5.350,00","5.350,00","5.350,00","0,92",5,"26.750,00","26.750,00",2015-01-12
13.01.2015,"5.350,00",/,/,"5.350,00","0,00",0,"0,00","0,00",2015-01-13
14.01.2015,"5.350,00",/,/,"5.350,00","0,00",0,"0,00","0,00",2015-01-14
15.01.2015,"5.300,00","5.300,00","5.300,00","5.300,00","-0,93",15,"79.500,00","79.500,00",2015-01-15
16.01.2015,"5.350,00","5.350,00","5.300,00","5.316,67","0,31",30,"159.500,00","159.500,00",2015-01-16
20.01.2015,"5.350,00",/,/,"5.316,67","0,00",0,"0,00","0,00",2015-01-20
21.01.2015,"5.350,00",/,/,"5.316,67","0,00",0,"0,00","0,00",2015-01-21
22.01.2015,"5.350,00","5.350,00","5.350,00","5.350,00","0,63",94,"502.900,00","502.900,00",2015-01-22
23.01.2015,"5.400,00","5.450,00","5.400,00","5.401,46","0,96",103,"556.350,00","556.350,00",2015-01-23
26.01.2015,"5.400,00",/,/,"5.401,46","0,00",0,"0,00","0,00",2015-01-26
27.01.2015,"5.400,00",/,/,"5.401,46","0,00",0,"0,00","0,00",2015-01-27
28.01.2015,"5.400,00","5.400,00","5.350,00","5.388,97","-0,23",68,"366.450,00","366.450,00",2015-01-28
29.01.2015,"5.450,00","5.450,00","5.410,00","5.423,33","0,64",75,"406.750,00","406.750,00",2015-01-29
30.01.2015,"5.450,00",/,/,"5.423,33","0,00",0,"0,00","0,00",2015-01-30
02.02.2015,"5.450,00","5.450,00","5.450,00","5.450,00","0,49",92,"501.400,00","501.400,00",2015-02-02
03.02.2015,"5.450,00",/,/,"5.450,00","0,00",0,"0,00","0,00",2015-02-03
04.02.2015,"5.450,00","5.450,00","5.450,00","5.450,00","0,00",50,"272.500,00","272.500,00",2015-02-04
05.02.2015,"5.450,00",/,/,"5.450,00","0,00",0,"0,00","0,00",2015-02-05
06.02.2015,"5.450,00",/,/,"5.450,00","0,00",0,"0,00","0,00",2015-02-06
09.02.2015,"5.450,00","5.450,00","5.450,00","5.450,00","0,00",435,"2.370.750,00","2.370.750,00",2015-02-09
10.02.2015,"5.450,00",/,/,"5.450,00","0,00",0,"0,00","0,00",2015-02-10
11.02.2015,"5.450,00","5.450,00","5.450,00","5.450,00","0,00",60,"327.000,00","327.000,00",2015-02-11
12.02.2015,"5.450,00",/,/,"5.450,00","0,00",0,"0,00","0,00",2015-02-12
13.02.2015,"5.450,00",/,/,"5.450,00","0,00",0,"0,00","0,00",2015-02-13
16.02.2015,"5.450,00",/,/,"5.450,00","0,00",0,"0,00","0,00",2015-02-16
17.02.2015,"5.400,00","5.400,00","5.400,00","5.400,00","-0,92",55,"297.000,00","297.000,00",2015-02-17
18.02.2015,"5.400,00",/,/,"5.400,00","0,00",0,"0,00","0,00",2015-02-18
19.02.2015,"5.449,00","5.449,00","5.449,00","5.449,00","0,91",17,"92.633,00","92.633,00",2015-02-19
20.02.2015,"5.450,00","5.450,00","5.400,00","5.435,46","-0,25",306,"1.663.250,00","1.663.250,00",2015-02-20
23.02.2015,"5.450,00",/,/,"5.435,46","0,00",0,"0,00","0,00",2015-02-23
24.02.2015,"5.450,00",/,/,"5.435,46","0,00",0,"0,00","0,00",2015-02-24
25.02.2015,"5.450,00",/,/,"5.435,46","0,00",0,"0,00","0,00",2015-02-25
26.02.2015,"5.400,00","5.401,00","5.400,00","5.400,03","-0,65",450,"2.430.015,00","2.430.015,00",2015-02-26
27.02.2015,"5.400,00",/,/,"5.400,03","0,00",0,"0,00","0,00",2015-02-27
02.03.2015,"5.400,00",/,/,"5.400,03","0,00",0,"0,00","0,00",2015-03-02
03.03.2015,"5.399,00","5.399,00","5.399,00","5.399,00","-0,02",1,"5.399,00","5.399,00",2015-03-03
04.03.2015,"5.400,00","5.400,00","5.399,00","5.399,68","0,01",102,"550.767,00","550.767,00",2015-03-04
05.03.2015,"5.400,00",/,/,"5.399,68","0,00",0,"0,00","0,00",2015-03-05
06.03.2015,"5.400,00",/,/,"5.399,68","0,00",0,"0,00","0,00",2015-03-06
09.03.2015,"5.250,00","5.250,00","5.250,00","5.250,00","-2,77",62,"325.500,00","325.500,00",2015-03-09
10.03.2015,"5.250,00",/,/,"5.250,00","0,00",0,"0,00","0,00",2015-03-10
11.03.2015,"5.320,00","5.320,00","5.250,00","5.268,85","0,36",52,"273.980,00","273.980,00",2015-03-11
12.03.2015,"5.250,00","5.350,00","5.250,00","5.300,00","0,59",20,"106.000,00","106.000,00",2015-03-12
13.03.2015,"5.250,00",/,/,"5.300,00","0,00",0,"0,00","0,00",2015-03-13
