Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars,datetime_parsed
10.11.2014,"699,00",/,/,"699,00","0,00",0,"0,00","0,00",2014-11-10
11.11.2014,"699,00",/,/,"699,00","0,00",0,"0,00","0,00",2014-11-11
12.11.2014,"719,00","719,00","700,00","713,86","2,13",111,"79.239,00","79.239,00",2014-11-12
13.11.2014,"750,00","750,00","750,00","750,00","5,06",95,"71.250,00","71.250,00",2014-11-13
14.11.2014,"772,00","772,00","693,00","698,81","-6,83",136,"95.038,00","95.038,00",2014-11-14
17.11.2014,"768,00","768,00","768,00","768,00","9,90",10,"7.680,00","7.680,00",2014-11-17
18.11.2014,"768,00",/,/,"768,00","0,00",0,"0,00","0,00",2014-11-18
19.11.2014,"768,00",/,/,"768,00","0,00",0,"0,00","0,00",2014-11-19
20.11.2014,"710,00","730,00","710,00","713,32","-7,12",182,"129.824,00","129.824,00",2014-11-20
21.11.2014,"767,00","767,00","767,00","767,00","7,53",20,"15.340,00","15.340,00",2014-11-21
24.11.2014,"840,00","840,00","750,00","761,25","-0,75",160,"121.800,00","121.800,00",2014-11-24
25.11.2014,"837,00","837,00","837,00","837,00","9,95",60,"50.220,00","50.220,00",2014-11-25
26.11.2014,"837,00",/,/,"837,00","0,00",0,"0,00","0,00",2014-11-26
27.11.2014,"837,00","837,00","836,00","836,20","-0,10",264,"220.757,00","220.757,00",2014-11-27
28.11.2014,"837,00",/,/,"836,20","0,00",0,"0,00","0,00",2014-11-28
01.12.2014,"837,00",/,/,"836,20","0,00",0,"0,00","0,00",2014-12-01
02.12.2014,"837,00",/,/,"836,20","0,00",0,"0,00","0,00",2014-12-02
04.12.2014,"753,00","753,00","753,00","753,00","-9,95",25,"18.825,00","18.825,00",2014-12-04
05.12.2014,"750,00","750,00","750,00","750,00","-0,40",30,"22.500,00","22.500,00",2014-12-05
09.12.2014,"750,00",/,/,"750,00","0,00",0,"0,00","0,00",2014-12-09
10.12.2014,"750,00",/,/,"750,00","0,00",0,"0,00","0,00",2014-12-10
11.12.2014,"790,00","790,00","750,00","756,00","0,80",20,"15.120,00","15.120,00",2014-12-11
12.12.2014,"790,00",/,/,"756,00","0,00",0,"0,00","0,00",2014-12-12
15.12.2014,"790,00",/,/,"756,00","0,00",0,"0,00","0,00",2014-12-15
16.12.2014,"690,00","690,00","690,00","690,00","-8,73",318,"219.420,00","219.420,00",2014-12-16
17.12.2014,"690,00",/,/,"690,00","0,00",0,"0,00","0,00",2014-12-17
18.12.2014,"690,00",/,/,"690,00","0,00",0,"0,00","0,00",2014-12-18
19.12.2014,"690,00",/,/,"690,00","0,00",0,"0,00","0,00",2014-12-19
22.12.2014,"690,00",/,/,"690,00","0,00",0,"0,00","0,00",2014-12-22
23.12.2014,"690,00",/,/,"690,00","0,00",0,"0,00","0,00",2014-12-23
24.12.2014,"690,00",/,/,"690,00","0,00",0,"0,00","0,00",2014-12-24
25.12.2014,"690,00",/,/,"690,00","0,00",0,"0,00","0,00",2014-12-25
26.12.2014,"690,00",/,/,"690,00","0,00",0,"0,00","0,00",2014-12-26
29.12.2014,"749,00","749,00","749,00","749,00","8,55",50,"37.450,00","37.450,00",2014-12-29
30.12.2014,"749,00",/,/,"749,00","0,00",0,"0,00","0,00",2014-12-30
02.01.2015,"749,00",/,/,"749,00","0,00",0,"0,00","0,00",2015-01-02
05.01.2015,"749,00",/,/,"749,00","0,00",0,"0,00","0,00",2015-01-05
08.01.2015,"749,00",/,/,"749,00","0,00",0,"0,00","0,00",2015-01-08
09.01.2015,"749,00",/,/,"749,00","0,00",0,"0,00","0,00",2015-01-09
12.01.2015,"749,00",/,/,"749,00","0,00",0,"0,00","0,00",2015-01-12
13.01.2015,"749,00",/,/,"749,00","0,00",0,"0,00","0,00",2015-01-13
14.01.2015,"749,00",/,/,"749,00","0,00",0,"0,00","0,00",2015-01-14
15.01.2015,"749,00",/,/,"749,00","0,00",0,"0,00","0,00",2015-01-15
16.01.2015,"749,00",/,/,"749,00","0,00",0,"0,00","0,00",2015-01-16
20.01.2015,"676,00","676,00","676,00","676,00","-9,75",40,"27.040,00","27.040,00",2015-01-20
21.01.2015,"676,00",/,/,"676,00","0,00",0,"0,00","0,00",2015-01-21
22.01.2015,"696,00","696,00","696,00","696,00","2,96",70,"48.720,00","48.720,00",2015-01-22
23.01.2015,"676,00","676,00","676,00","676,00","-2,87",23,"15.548,00","15.548,00",2015-01-23
26.01.2015,"676,00",/,/,"676,00","0,00",0,"0,00","0,00",2015-01-26
